recency,frequency,monetary,sessions_last_30d,pages_viewed,cart_additions,last_visit_days,tickets_count,complaints_count,last_ticket_days,cart_abandon_rate,engagement_score,support_frustration,purchase_intensity,avg_order_value,tenure_days,country_Germany,country_India,country_UK,country_USA,device_type_Mobile,device_type_Tablet,churn_prob,actual_churn,risk_segment,predicted_clv,clv_segment,retention_action,save_probability,expected_revenue_saved
232.0,3.0,364.53000000000003,8,20,0,22,1,1,83,0.0,11.2,1.0,0.012875536480686695,91.13250000000001,93,False,False,True,False,False,False,0.7963142,1,High Risk,428.8156810728534,Low CLV,Offer: 10% Coupon,,
82.0,4.0,337.08,8,27,1,4,0,0,51,0.1111111111111111,14.2,0.0,0.04819277108433735,67.416,285,False,False,True,False,True,False,0.38025838,0,Low Risk,360.61507644015614,Low CLV,Regular Marketing,,
149.0,6.0,605.73,6,28,0,47,1,1,49,0.0,13.600000000000001,1.0,0.04,86.53285714285714,106,False,False,False,True,False,True,0.76238835,1,High Risk,689.7980235347549,High CLV,Critical: 20% Discount + Personal Email,,
47.0,9.0,731.61,10,27,4,26,3,1,86,0.36363636363636365,15.600000000000001,1.5999999999999999,0.1875,73.161,116,False,True,False,False,True,False,0.16763176,0,Low Risk,891.3786354398397,High CLV,VIP Loyalty Rewards,,
164.0,4.0,435.56,8,32,1,12,2,1,9,0.1111111111111111,16.2,1.2999999999999998,0.024242424242424242,87.112,357,False,False,False,True,False,False,0.8364159,1,High Risk,540.37519926479,High CLV,Critical: 20% Discount + Personal Email,,
132.0,5.0,641.72,8,23,2,33,2,1,105,0.2222222222222222,12.800000000000002,1.2999999999999998,0.03759398496240601,106.95333333333333,206,False,False,False,False,False,False,0.6738536,0,Medium Risk,723.094233176076,High CLV,Nurture: Product Recommendations,,
119.0,5.0,304.39,7,25,3,27,1,2,109,0.375,13.4,1.7,0.041666666666666664,50.73166666666666,266,True,False,False,False,False,False,0.88302803,0,High Risk,363.3640079056911,Low CLV,Offer: 10% Coupon,,
124.0,5.0,739.98,7,21,3,14,1,1,115,0.375,11.8,1.0,0.04,123.33,234,False,True,False,False,False,False,0.77428347,1,High Risk,861.9528000210859,High CLV,Critical: 20% Discount + Personal Email,,
999.0,0.0,0.0,11,22,6,31,2,0,24,0.5,14.400000000000002,0.6,0.0,0.0,312,False,False,False,True,True,False,0.9847149,1,High Risk,0.0,Low CLV,Offer: 10% Coupon,,
18.0,8.0,801.6999999999999,11,24,2,59,1,0,9,0.16666666666666666,14.400000000000002,0.3,0.42105263157894735,89.07777777777777,353,False,False,False,False,True,False,0.016342282,1,Low Risk,1022.0468661481787,High CLV,VIP Loyalty Rewards,,
